Symbol,year,train_hasta_año,mse,rmse,mae,r2,n_train,n_test
AAPL,2020,2019,0.015405950399822472,0.12412070898855868,0.09434926092537968,0.5995386405705365,61400,253
AAPL,2021,2020,0.008125296167657716,0.09014042471420754,0.07368120793009562,0.5726705642006262,67725,252
AAPL,2022,2021,0.014036776775563638,0.11847690397526278,0.09054886944702423,0.576856436857516,74025,251
AAPL,2023,2022,0.0065319509995949146,0.08082048626180688,0.06599229555530547,0.6088125948835905,80300,250
AAPL,2024,2023,0.00770527747261451,0.08777970991416245,0.06741505611817042,0.578150879182819,86550,252
ADI,2020,2019,0.010442381111793735,0.10218796950616904,0.07597068366840422,0.6583879146512873,61400,253
ADI,2021,2020,0.006511135894666006,0.08069160981580431,0.06357334515668096,0.6522488453626032,67725,252
ADI,2022,2021,0.010212176498127603,0.10105531405189735,0.0798053975748351,0.658678158013186,74025,251
ADI,2023,2022,0.009940821451987342,0.0997036681972501,0.07944757562591553,0.436377387821433,80300,250
ADI,2024,2023,0.009420176979994735,0.09705759619934308,0.08015635901184309,0.47579422369572155,86550,252
AMAT,2020,2019,0.016086610085289502,0.12683300077381085,0.0957129431045668,0.6619898577208219,61400,253
AMAT,2021,2020,0.012681519539086403,0.11261225305927594,0.08958637107245505,0.6516645311279085,67725,252
AMAT,2022,2021,0.020479423657391024,0.14310633688761312,0.11168671607253562,0.6038329208317453,74025,251
AMAT,2023,2022,0.011503329105713533,0.10725357385986507,0.0820215813487053,0.5671209563916728,80300,250
AMAT,2024,2023,0.01273219233538557,0.11283701668949588,0.09028591577348255,0.7004231857836913,86550,252
AMD,2020,2019,0.020963507863231784,0.14478780288142984,0.10837576530043787,0.5981971856282082,61400,253
AMD,2021,2020,0.013881734531886765,0.11782077292178475,0.09518827235072377,0.6572964477197221,67725,252
AMD,2022,2021,0.023156603253031774,0.15217293863572384,0.12224503877051085,0.6864231471796285,74025,251
AMD,2023,2022,0.02318327895113207,0.15226056269149957,0.11653531149391175,0.5320955179245004,80300,250
AMD,2024,2023,0.0197529555968799,0.14054520837396023,0.10765189827827233,0.6439409421370201,86550,252
AMZN,2020,2019,0.015218775537025327,0.12336440141720514,0.10221997678183756,0.5131070898404657,61400,253
AMZN,2021,2020,0.0063787515058628215,0.07986708649915071,0.06450314033741043,0.6599530710782319,67725,252
AMZN,2022,2021,0.023020602212355894,0.15172541715993368,0.12091705799598144,0.571061157143379,74025,251
AMZN,2023,2022,0.00779078273033041,0.08826541072430587,0.06745583647655488,0.657965977708946,80300,250
AMZN,2024,2023,0.008272449145344125,0.09095300514740634,0.069048762210494,0.616979554110443,86550,252
AXP,2020,2019,0.015374731096712042,0.12399488334891905,0.09449880728592516,0.6851295658475075,61400,253
AXP,2021,2020,0.007667937723505224,0.08756676152231065,0.06761530445354325,0.5890003800705834,67725,252
AXP,2022,2021,0.011924792276527565,0.10920069723462193,0.08389666749971321,0.6942317673789816,74025,251
AXP,2023,2022,0.006687635551441652,0.08177796495047826,0.06306354265859603,0.7454740869013514,80300,250
AXP,2024,2023,0.011203824574133806,0.1058481203145989,0.08396758947730064,0.16304198440095818,86550,252
BKNG,2020,2019,0.0172023393633505,0.1311576889219633,0.09858025707766004,0.6340734699254567,61400,253
BKNG,2021,2020,0.009678408506160117,0.09837890274931976,0.07706593106474195,0.6220360782734788,67725,252
BKNG,2022,2021,0.013742224220983017,0.11722723327359995,0.09021192147019493,0.7183591138011749,74025,251
BKNG,2023,2022,0.0076045516132590245,0.08720408025579436,0.06723626721240997,0.6325207713018659,80300,250
BKNG,2024,2023,0.00780382908442448,0.08833928392524178,0.07038874631531655,0.6566238215975782,86550,252
CAT,2020,2019,0.012964554448667575,0.11386199738572819,0.09192015904944875,0.6696718769350518,61400,253
CAT,2021,2020,0.007008138780270476,0.08371462703894987,0.06760356216570688,0.6228083835143433,67725,252
CAT,2022,2021,0.009505123625168282,0.09749422354769682,0.07523670925096686,0.774264479584825,74025,251
CAT,2023,2022,0.009153472829887476,0.0956737833990455,0.07347401164216041,0.6585569058211302,80300,250
CAT,2024,2023,0.007244985775377531,0.08511748219594804,0.0688149274053271,0.6822518428551481,86550,252
CDNS,2020,2019,0.02185753395238473,0.14784293676866922,0.11874217262957878,0.41465200554523507,61400,253
CDNS,2021,2020,0.009708729500628894,0.0985328853765528,0.07652604886628331,0.6483654323196077,67725,252
CDNS,2022,2021,0.015282794446695183,0.12362359987759289,0.0957633434964176,0.6318590177403705,74025,251
CDNS,2023,2022,0.01003606643092698,0.10018016984876288,0.0769108190019226,0.48666510739370894,80300,250
CDNS,2024,2023,0.009686187905858196,0.09841843275453128,0.07711446048026993,0.681404348359762,86550,252
COST,2020,2019,0.006168497515116097,0.07853978300909735,0.06151962475343183,0.47136394491478284,61400,253
COST,2021,2020,0.00452749146087081,0.06728663656975886,0.05460396035688265,0.651796888719672,67725,252
COST,2022,2021,0.010289311427404498,0.10143624316487918,0.08105426752721172,0.7096516896208207,74025,251
COST,2023,2022,0.005246440340773296,0.07243231558340031,0.058194571693573,0.4745499139399162,80300,250
COST,2024,2023,0.009068612664557172,0.09522926369849329,0.07865923829387104,0.24008468528273041,86550,252
EBAY,2020,2019,0.011465891962502247,0.10707890531053373,0.08401554478846991,0.7320190314559665,61400,253
EBAY,2021,2020,0.011499159511140104,0.10723413407651551,0.08666730297819017,0.622524712818024,67725,252
EBAY,2022,2021,0.013904855738846198,0.11791885234705347,0.09488728223547993,0.613300220423625,74025,251
EBAY,2023,2022,0.005840961976173299,0.0764261864557777,0.059169714124813075,0.7496131618080663,80300,250
EBAY,2024,2023,0.0058931190856444235,0.0767666534743076,0.05984447029897144,0.606210530443016,86550,252
GILD,2020,2019,0.008877003567255282,0.09421785163786787,0.06859790923578467,0.4656872069260062,61400,253
GILD,2021,2020,0.003952677670498592,0.0628703242436254,0.050807775501712914,0.6174044468777047,67725,252
GILD,2022,2021,0.004999547754222569,0.07070748018578069,0.055401145650001156,0.7826643383116969,74025,251
GILD,2023,2022,0.004692946534098801,0.06850508400183741,0.05232338725782394,0.608846769428864,80300,250
GILD,2024,2023,0.006422837484685421,0.08014260717424547,0.061196983230303204,0.7027084369952568,86550,252
INTU,2020,2019,0.014064654186425421,0.11859449475597686,0.09144865726699,0.5592503257595796,61400,253
INTU,2021,2020,0.008047475591296595,0.08970772314185994,0.07584579817313997,0.5992573105468015,67725,252
INTU,2022,2021,0.020753894419628063,0.14406212000254634,0.11658933187249172,0.5505725915283868,74025,251
INTU,2023,2022,0.009293622719593268,0.09640343728100813,0.07639199878183366,0.5725900748703424,80300,250
INTU,2024,2023,0.007935660428805993,0.08908232388530282,0.06973090075836295,0.6354004394816581,86550,252
KLAC,2020,2019,0.01708589743401802,0.1307130346752688,0.09914218609216185,0.5744803371367698,61400,253
KLAC,2021,2020,0.01163000495814808,0.1078425007042589,0.0859219695237137,0.7142018040758481,67725,252
KLAC,2022,2021,0.018992642927442537,0.13781379802995974,0.10772220752489994,0.6332281230381304,74025,251
KLAC,2023,2022,0.012715428370380812,0.11276270824337632,0.08681428474319458,0.5222333098372767,80300,250
KLAC,2024,2023,0.014600641031646674,0.12083311231465767,0.09474394273726713,0.5957915774085204,86550,252
LRCX,2020,2019,0.01931589605930487,0.13898163928845014,0.1070420796396704,0.6532563797191056,61400,253
LRCX,2021,2020,0.011630886271747052,0.10784658674129215,0.086170938267178,0.6785919911143796,67725,252
LRCX,2022,2021,0.021205230619869817,0.14562015870019446,0.11523678969283503,0.644880124811692,74025,251
LRCX,2023,2022,0.017427745506283537,0.1320141867614369,0.10075892374200819,0.4112480244498191,80300,250
LRCX,2024,2023,0.013782150455253854,0.11739740395449064,0.09502635935074752,0.6643771052182705,86550,252
MAR,2020,2019,0.020184243509565394,0.1420712620819756,0.10878248837630268,0.6734307689361507,61400,253
MAR,2021,2020,0.009005602123659074,0.09489785099600029,0.07347914462615573,0.5870537336406016,67725,252
MAR,2022,2021,0.01137928948732068,0.10667375256978953,0.08251018012129453,0.7172257592018509,74025,251
MAR,2023,2022,0.006925690153340725,0.08322073151168959,0.06527063681905745,0.5782836075069571,80300,250
MAR,2024,2023,0.005518484439779568,0.07428650240642352,0.05823143122355143,0.6479005125601098,86550,252
MS,2020,2019,0.013277892948284985,0.11522973986035456,0.08963221995329197,0.729774843805157,61400,253
MS,2021,2020,0.010665675464135906,0.10327475714876266,0.08305155076594581,0.4310372048353487,67725,252
MS,2022,2021,0.010028017015411938,0.10013998709512568,0.07889450535311641,0.7189533990431781,74025,251
MS,2023,2022,0.007085223438884499,0.08417376930424643,0.06640516900848388,0.775433395706204,80300,250
MS,2024,2023,0.008444716137376242,0.09189513663614762,0.06974593070718978,0.6224141904909214,86550,252
MSFT,2020,2019,0.010753638126060647,0.10369974988427237,0.08181151754279382,0.6204801830980653,61400,253
MSFT,2021,2020,0.006033172849511112,0.07767350159166968,0.06467481205675336,0.5768521110281347,67725,252
MSFT,2022,2021,0.01390106269027574,0.11790276795001778,0.09195700186471065,0.4933743388430756,74025,251
MSFT,2023,2022,0.006813824700647498,0.08254589451115965,0.06425270523387909,0.5954611524451867,80300,250
MSFT,2024,2023,0.005380992089424538,0.0733552458207628,0.05972317894763416,0.6331916164694236,86550,252
MU,2020,2019,0.01882747557143638,0.13721324852737937,0.10803180815698836,0.5971634614359541,61400,253
MU,2021,2020,0.011242577597306338,0.10603102186297338,0.08168407887210921,0.6639782364910483,67725,252
MU,2022,2021,0.01638943536079865,0.12802123011750297,0.10256585004934751,0.6173829124442496,74025,251
MU,2023,2022,0.012536295558412024,0.1119655998885909,0.08485132339179992,0.5938279062988981,80300,250
MU,2024,2023,0.020018440644249434,0.14148653873867095,0.10772732604003141,0.6777112880518887,86550,252
NKE,2020,2019,0.014988891754427133,0.12242912951755858,0.09472728207853001,0.520706776258131,61400,253
NKE,2021,2020,0.008148098226189018,0.09026681686084327,0.06946404306856413,0.6376724730759423,67725,252
NKE,2022,2021,0.013988872171691258,0.11827456265694351,0.0928122271164575,0.6659632511924944,74025,251
NKE,2023,2022,0.007065756531721633,0.0840580545321008,0.06541624905538558,0.7367786503016187,80300,250
NKE,2024,2023,0.010225689657560042,0.10112215216044426,0.07325332438856838,0.6349523313186489,86550,252
NVDA,2020,2019,0.014916040115897136,0.12213124135902793,0.09549862824573346,0.611034686430477,61400,253
NVDA,2021,2020,0.012727986209531384,0.11281837709137366,0.0915390135911722,0.7323058301673389,67725,252
NVDA,2022,2021,0.026784970840034828,0.1636611463971667,0.13320859750637495,0.6512588422208682,74025,251
NVDA,2023,2022,0.02618092367141157,0.16180520285643343,0.12789055324355122,0.36457322470184106,80300,250
NVDA,2024,2023,0.025345134404526008,0.1592015527704614,0.12952454446061265,0.5284261177912392,86550,252
ORCL,2020,2019,0.0070880221711235635,0.08419039239202751,0.06235046680188462,0.6629023252723052,61400,253
ORCL,2021,2020,0.00858168377272875,0.09263737783815316,0.06839555283328842,0.613287107352871,67725,252
ORCL,2022,2021,0.014615203947305923,0.120893357746842,0.09176997296705665,0.5203528127066126,74025,251
ORCL,2023,2022,0.00804149755858694,0.08967439745315794,0.06881465803881645,0.6980323051903903,80300,250
ORCL,2024,2023,0.011776659126957256,0.10852031665525702,0.08380010927389539,0.6080985734161204,86550,252
REGN,2020,2019,0.013200254644183009,0.11489236112197804,0.0903659844534953,0.5880671240293115,61400,253
REGN,2021,2020,0.007831683205714467,0.08849679771446234,0.06915510723023187,0.7220214645017431,67725,252
REGN,2022,2021,0.009387955863860197,0.09689146434986003,0.07174785703218314,0.6778007906939035,74025,251
REGN,2023,2022,0.008803935771229262,0.0938292905825748,0.07550697502019882,0.473271479585052,80300,250
REGN,2024,2023,0.006824217072311072,0.08260881957945575,0.06224556707527903,0.7561655762274404,86550,252
SBUX,2020,2019,0.012412345772793877,0.11141070762181648,0.08844570369767576,0.6126324559713624,61400,253
SBUX,2021,2020,0.005451858491121613,0.07383670151842926,0.0584237822731336,0.3957617593824433,67725,252
SBUX,2022,2021,0.011344252696515698,0.1065094019160548,0.08371867854883945,0.6446203148991959,74025,251
SBUX,2023,2022,0.006454270128967495,0.08033847228425181,0.06063582429828643,0.6258653875043756,80300,250
SBUX,2024,2023,0.010084627929712346,0.10042224818093023,0.06973068065017936,0.5959415652231381,86550,252
VRTX,2020,2019,0.013680345678935906,0.1169630098746433,0.09005913156151771,0.5681021719244554,61400,253
VRTX,2021,2020,0.005487038523491827,0.07407454706909673,0.05347174359616779,0.6778091903247117,67725,252
VRTX,2022,2021,0.00856027071806508,0.09252173105851987,0.06971767647262588,0.6585630320351001,74025,251
VRTX,2023,2022,0.006550816617759258,0.0809371152053201,0.061838613442668916,0.6331336501277953,80300,250
VRTX,2024,2023,0.0143242562478537,0.11968398492636222,0.09027543095535702,0.3000374934158536,86550,252
